         買超概算   區間漲幅       代號            分類
8         傳產-化學工業   緩緩下跌    材料-KY  -8.47(億)
9     電子上游-PCB-製造   緩緩下跌  臻鼎-KY-◎  -0.68(億)
10     電子下游-商業自動化  上漲ing       虹堡   9.24(億)
11  電子上游-PCB-材料設備   緩緩上漲       建榮  -0.41(億)
12      電子中游-通訊設備  上漲ing       光聖   2.79(億)
13        軟體-系統整合     很強     台灣銘板   0.79(億)
14     電子上游-IC-封測     很強       華東    2.4(億)
    node1    node2     node3          node4
0   上漲ing      三商電   0.82(億)        軟體-系統整合
1    緩緩上漲     義隆-◎   8.12(億)     電子上游-IC-設計
2    緩緩下跌    美食-KY   -0.9(億)          傳產-觀光
3    緩緩上漲     雙鴻-◎   5.91(億)  電子中游-NB與手機零組件
4    緩緩上漲       兆利   1.88(億)      電子上游-連接元件
5    緩緩下跌       德微  -1.63(億)   電子上游-LED及光元件
6    緩緩上漲   太景*-KY   0.16(億)          傳產-生技
7   上漲ing     智擎-◎   3.49(億)          傳產-生技
8    緩緩下跌    材料-KY  -8.47(億)        傳產-化學工業
9    緩緩下跌  臻鼎-KY-◎  -0.68(億)    電子上游-PCB-製造
10  上漲ing       虹堡   9.24(億)     電子下游-商業自動化
11   緩緩上漲       建榮  -0.41(億)  電子上游-PCB-材料設備
12  上漲ing       光聖   2.79(億)      電子中游-通訊設備
13     很強     台灣銘板   0.79(億)        軟體-系統整合
14     很強       華東    2.4(億)     電子上游-IC-封測
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['上漲ing', '三商電'], ['緩緩上漲', '義隆-◎'], ['緩緩下跌', '美食-KY'], ['緩緩上漲', '雙鴻-◎'], ['緩緩上漲', '兆利'], ['緩緩下跌', '德微'], ['緩緩上漲', '太景*-KY'], ['上漲ing', '智擎-◎'], ['緩緩下跌', '材料-KY'], ['緩緩下跌', '臻鼎-KY-◎'], ['上漲ing', '虹堡'], ['緩緩上漲', '建榮'], ['上漲ing', '光聖'], ['很強', '台灣銘板'], ['很強', '華東'], ['三商電', '0.82(億)'], ['義隆-◎', '8.12(億)'], ['美食-KY', '-0.9(億)'], ['雙鴻-◎', '5.91(億)'], ['兆利', '1.88(億)'], ['德微', '-1.63(億)'], ['太景*-KY', '0.16(億)'], ['智擎-◎', '3.49(億)'], ['材料-KY', '-8.47(億)'], ['臻鼎-KY-◎', '-0.68(億)'], ['虹堡', '9.24(億)'], ['建榮', '-0.41(億)'], ['光聖', '2.79(億)'], ['台灣銘板', '0.79(億)'], ['華東', '2.4(億)']]
        買超概算   區間漲幅      代號             分類
0   1.383341  16.28      泰茂       傳產-汽車零組件
1   2.418451  -2.85      宇隆       傳產-汽車零組件
2  -0.613375  -0.61   美食-KY          傳產-觀光
3   2.464892   3.05     昇達科      電子中游-通訊設備
4  -2.078435 -14.39      德微   電子上游-LED及光元件
5   0.246235   6.41  太景*-KY          傳產-生技
6   3.358824  29.67    智擎-◎          傳產-生技
7  -8.624423 -11.89   材料-KY        傳產-化學工業
8   2.281577   1.48     誠美材   電子中游-LCD-零組件
9   7.438304  15.65      虹堡     電子下游-商業自動化
10 -0.469713   1.41      建榮  電子上游-PCB-材料設備
11  0.753902  44.19    台灣銘板        軟體-系統整合
12  1.720067  13.11      軒郁          傳產-生技
13  2.174555  19.19      華東     電子上游-IC-封測
        買超概算      代號             分類  node1
0   1.383341      泰茂       傳產-汽車零組件  上漲ing
1   2.418451      宇隆       傳產-汽車零組件   緩緩下跌
2  -0.613375   美食-KY          傳產-觀光   緩緩下跌
3   2.464892     昇達科      電子中游-通訊設備   緩緩上漲
4  -2.078435      德微   電子上游-LED及光元件  下跌ing
5   0.246235  太景*-KY          傳產-生技   緩緩上漲
6   3.358824    智擎-◎          傳產-生技     很強
7  -8.624423   材料-KY        傳產-化學工業  下跌ing
8   2.281577     誠美材   電子中游-LCD-零組件   緩緩上漲
9   7.438304      虹堡     電子下游-商業自動化  上漲ing
10 -0.469713      建榮  電子上游-PCB-材料設備   緩緩上漲
11  0.753902    台灣銘板        軟體-系統整合     很強
12  1.720067      軒郁          傳產-生技  上漲ing
13  2.174555      華東     電子上游-IC-封測  上漲ing
               分類  node1   node2     node3
0        傳產-汽車零組件  上漲ing      泰茂   1.38(億)
1        傳產-汽車零組件   緩緩下跌      宇隆   2.42(億)
2           傳產-觀光   緩緩下跌   美食-KY  -0.61(億)
3       電子中游-通訊設備   緩緩上漲     昇達科   2.46(億)
4    電子上游-LED及光元件  下跌ing      德微  -2.08(億)
5           傳產-生技   緩緩上漲  太景*-KY   0.25(億)
6           傳產-生技     很強    智擎-◎   3.36(億)
7         傳產-化學工業  下跌ing   材料-KY  -8.62(億)
8    電子中游-LCD-零組件   緩緩上漲     誠美材   2.28(億)
9      電子下游-商業自動化  上漲ing      虹堡   7.44(億)
10  電子上游-PCB-材料設備   緩緩上漲      建榮  -0.47(億)
11        軟體-系統整合     很強    台灣銘板   0.75(億)
12          傳產-生技  上漲ing      軒郁   1.72(億)
13     電子上游-IC-封測  上漲ing      華東   2.17(億)
    node1   node2     node3          node4
0   上漲ing      泰茂   1.38(億)       傳產-汽車零組件
1    緩緩下跌      宇隆   2.42(億)       傳產-汽車零組件
2    緩緩下跌   美食-KY  -0.61(億)          傳產-觀光
3    緩緩上漲     昇達科   2.46(億)      電子中游-通訊設備
4   下跌ing      德微  -2.08(億)   電子上游-LED及光元件
5    緩緩上漲  太景*-KY   0.25(億)          傳產-生技
6      很強    智擎-◎   3.36(億)          傳產-生技
7   下跌ing   材料-KY  -8.62(億)        傳產-化學工業
8    緩緩上漲     誠美材   2.28(億)   電子中游-LCD-零組件
9   上漲ing      虹堡   7.44(億)     電子下游-商業自動化
10   緩緩上漲      建榮  -0.47(億)  電子上游-PCB-材料設備
11     很強    台灣銘板   0.75(億)        軟體-系統整合
12  上漲ing      軒郁   1.72(億)          傳產-生技
13  上漲ing      華東   2.17(億)     電子上游-IC-封測
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['上漲ing', '泰茂'], ['緩緩下跌', '宇隆'], ['緩緩下跌', '美食-KY'], ['緩緩上漲', '昇達科'], ['下跌ing', '德微'], ['緩緩上漲', '太景*-KY'], ['很強', '智擎-◎'], ['下跌ing', '材料-KY'], ['緩緩上漲', '誠美材'], ['上漲ing', '虹堡'], ['緩緩上漲', '建榮'], ['很強', '台灣銘板'], ['上漲ing', '軒郁'], ['上漲ing', '華東'], ['泰茂', '1.38(億)'], ['宇隆', '2.42(億)'], ['美食-KY', '-0.61(億)'], ['昇達科', '2.46(億)'], ['德微', '-2.08(億)'], ['太景*-KY', '0.25(億)'], ['智擎-◎', '3.36(億)'], ['材料-KY', '-8.62(億)'], ['誠美材', '2.28(億)'], ['虹堡', '7.44(億)'], ['建榮', '-0.47(億)'], ['台灣銘板', '0.75(億)'], ['軒郁', '1.72(億)'], ['華東', '2.17(億)']]
        買超概算   區間漲幅      代號             分類
0   1.436026  15.49      泰茂       傳產-汽車零組件
1   2.644195   2.22      宇隆       傳產-汽車零組件
2   8.086062   3.17    義隆-◎     電子上游-IC-設計
3  -0.788244  -2.22   美食-KY          傳產-觀光
4  -3.008657 -16.82      德微   電子上游-LED及光元件
5   0.199339   4.93  太景*-KY          傳產-生技
6  -4.671905  -7.73   材料-KY        傳產-化學工業
7   3.108450  -3.32     誠美材   電子中游-LCD-零組件
8   5.888437   3.90     華星光      電子中游-通訊設備
9   7.984502  17.26      虹堡     電子下游-商業自動化
10 -0.344073   3.39      建榮  電子上游-PCB-材料設備
11  4.572706  13.19      亞翔    電子中游-儀器設備工程
12  0.629814  43.13    台灣銘板        軟體-系統整合
13  1.557370   8.59      軒郁          傳產-生技
14  4.672462   0.61   志強-KY          傳產-其他
15  2.366798  38.35      安國     電子上游-IC-設計
16  1.693958   4.03      華東     電子上游-IC-封測
        買超概算      代號             分類  node1
0   1.436026      泰茂       傳產-汽車零組件  上漲ing
1   2.644195      宇隆       傳產-汽車零組件   緩緩上漲
2   8.086062    義隆-◎     電子上游-IC-設計   緩緩上漲
3  -0.788244   美食-KY          傳產-觀光   緩緩下跌
4  -3.008657      德微   電子上游-LED及光元件  下跌ing
5   0.199339  太景*-KY          傳產-生技   緩緩上漲
6  -4.671905   材料-KY        傳產-化學工業   緩緩下跌
7   3.108450     誠美材   電子中游-LCD-零組件   緩緩下跌
8   5.888437     華星光      電子中游-通訊設備   緩緩上漲
9   7.984502      虹堡     電子下游-商業自動化  上漲ing
10 -0.344073      建榮  電子上游-PCB-材料設備   緩緩上漲
11  4.572706      亞翔    電子中游-儀器設備工程  上漲ing
12  0.629814    台灣銘板        軟體-系統整合     很強
13  1.557370      軒郁          傳產-生技   緩緩上漲
14  4.672462   志強-KY          傳產-其他   緩緩上漲
15  2.366798      安國     電子上游-IC-設計     很強
16  1.693958      華東     電子上游-IC-封測   緩緩上漲
               分類  node1   node2     node3
0        傳產-汽車零組件  上漲ing      泰茂   1.44(億)
1        傳產-汽車零組件   緩緩上漲      宇隆   2.64(億)
2      電子上游-IC-設計   緩緩上漲    義隆-◎   8.09(億)
3           傳產-觀光   緩緩下跌   美食-KY  -0.79(億)
4    電子上游-LED及光元件  下跌ing      德微  -3.01(億)
5           傳產-生技   緩緩上漲  太景*-KY    0.2(億)
6         傳產-化學工業   緩緩下跌   材料-KY  -4.67(億)
7    電子中游-LCD-零組件   緩緩下跌     誠美材   3.11(億)
8       電子中游-通訊設備   緩緩上漲     華星光   5.89(億)
9      電子下游-商業自動化  上漲ing      虹堡   7.98(億)
10  電子上游-PCB-材料設備   緩緩上漲      建榮  -0.34(億)
11    電子中游-儀器設備工程  上漲ing      亞翔   4.57(億)
12        軟體-系統整合     很強    台灣銘板   0.63(億)
13          傳產-生技   緩緩上漲      軒郁   1.56(億)
14          傳產-其他   緩緩上漲   志強-KY   4.67(億)
15     電子上游-IC-設計     很強      安國   2.37(億)
16     電子上游-IC-封測   緩緩上漲      華東   1.69(億)
    node1   node2     node3          node4
0   上漲ing      泰茂   1.44(億)       傳產-汽車零組件
1    緩緩上漲      宇隆   2.64(億)       傳產-汽車零組件
2    緩緩上漲    義隆-◎   8.09(億)     電子上游-IC-設計
3    緩緩下跌   美食-KY  -0.79(億)          傳產-觀光
4   下跌ing      德微  -3.01(億)   電子上游-LED及光元件
5    緩緩上漲  太景*-KY    0.2(億)          傳產-生技
6    緩緩下跌   材料-KY  -4.67(億)        傳產-化學工業
7    緩緩下跌     誠美材   3.11(億)   電子中游-LCD-零組件
8    緩緩上漲     華星光   5.89(億)      電子中游-通訊設備
9   上漲ing      虹堡   7.98(億)     電子下游-商業自動化
10   緩緩上漲      建榮  -0.34(億)  電子上游-PCB-材料設備
11  上漲ing      亞翔   4.57(億)    電子中游-儀器設備工程
12     很強    台灣銘板   0.63(億)        軟體-系統整合
13   緩緩上漲      軒郁   1.56(億)          傳產-生技
14   緩緩上漲   志強-KY   4.67(億)          傳產-其他
15     很強      安國   2.37(億)     電子上游-IC-設計
16   緩緩上漲      華東   1.69(億)     電子上游-IC-封測
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['上漲ing', '泰茂'], ['緩緩上漲', '宇隆'], ['緩緩上漲', '義隆-◎'], ['緩緩下跌', '美食-KY'], ['下跌ing', '德微'], ['緩緩上漲', '太景*-KY'], ['緩緩下跌', '材料-KY'], ['緩緩下跌', '誠美材'], ['緩緩上漲', '華星光'], ['上漲ing', '虹堡'], ['緩緩上漲', '建榮'], ['上漲ing', '亞翔'], ['很強', '台灣銘板'], ['緩緩上漲', '軒郁'], ['緩緩上漲', '志強-KY'], ['很強', '安國'], ['緩緩上漲', '華東'], ['泰茂', '1.44(億)'], ['宇隆', '2.64(億)'], ['義隆-◎', '8.09(億)'], ['美食-KY', '-0.79(億)'], ['德微', '-3.01(億)'], ['太景*-KY', '0.2(億)'], ['材料-KY', '-4.67(億)'], ['誠美材', '3.11(億)'], ['華星光', '5.89(億)'], ['虹堡', '7.98(億)'], ['建榮', '-0.34(億)'], ['亞翔', '4.57(億)'], ['台灣銘板', '0.63(億)'], ['軒郁', '1.56(億)'], ['志強-KY', '4.67(億)'], ['安國', '2.37(億)'], ['華東', '1.69(億)']]
         買超概算   區間漲幅      代號             分類
0    2.279955  -5.63      宇隆       傳產-汽車零組件
1   -0.690212  -0.10   美食-KY          傳產-觀光
2   17.283433  14.17    穩懋-●     電子上游-IC-代工
3   -3.473789 -22.04      德微   電子上游-LED及光元件
4    0.141568  -1.34  太景*-KY          傳產-生技
5   -7.277666 -19.33   材料-KY        傳產-化學工業
6    3.421216 -12.72     誠美材   電子中游-LCD-零組件
7    6.528437   4.44      虹堡     電子下游-商業自動化
8   -0.436698  -4.01      建榮  電子上游-PCB-材料設備
9    4.042810  -1.55      亞翔    電子中游-儀器設備工程
10   2.715976   2.32  矽力*-KY     電子上游-IC-設計
11   0.095685   4.03     長科*   電子上游-LED及光元件
12   0.476273  28.98    台灣銘板        軟體-系統整合
13   3.806726   4.22      鈺太     電子上游-IC-設計
14   1.695982   6.34      軒郁          傳產-生技
15   4.671168   0.30   志強-KY          傳產-其他
16   2.627278  31.70      安國     電子上游-IC-設計
         買超概算      代號             分類  node1
0    2.279955      宇隆       傳產-汽車零組件   緩緩下跌
1   -0.690212   美食-KY          傳產-觀光   緩緩下跌
2   17.283433    穩懋-●     電子上游-IC-代工  上漲ing
3   -3.473789      德微   電子上游-LED及光元件     很弱
4    0.141568  太景*-KY          傳產-生技   緩緩下跌
5   -7.277666   材料-KY        傳產-化學工業  下跌ing
6    3.421216     誠美材   電子中游-LCD-零組件  下跌ing
7    6.528437      虹堡     電子下游-商業自動化   緩緩上漲
8   -0.436698      建榮  電子上游-PCB-材料設備   緩緩下跌
9    4.042810      亞翔    電子中游-儀器設備工程   緩緩下跌
10   2.715976  矽力*-KY     電子上游-IC-設計   緩緩上漲
11   0.095685     長科*   電子上游-LED及光元件   緩緩上漲
12   0.476273    台灣銘板        軟體-系統整合     很強
13   3.806726      鈺太     電子上游-IC-設計   緩緩上漲
14   1.695982      軒郁          傳產-生技   緩緩上漲
15   4.671168   志強-KY          傳產-其他   緩緩上漲
16   2.627278      安國     電子上游-IC-設計     很強
               分類  node1   node2     node3
0        傳產-汽車零組件   緩緩下跌      宇隆   2.28(億)
1           傳產-觀光   緩緩下跌   美食-KY  -0.69(億)
2      電子上游-IC-代工  上漲ing    穩懋-●  17.28(億)
3    電子上游-LED及光元件     很弱      德微  -3.47(億)
4           傳產-生技   緩緩下跌  太景*-KY   0.14(億)
5         傳產-化學工業  下跌ing   材料-KY  -7.28(億)
6    電子中游-LCD-零組件  下跌ing     誠美材   3.42(億)
7      電子下游-商業自動化   緩緩上漲      虹堡   6.53(億)
8   電子上游-PCB-材料設備   緩緩下跌      建榮  -0.44(億)
9     電子中游-儀器設備工程   緩緩下跌      亞翔   4.04(億)
10     電子上游-IC-設計   緩緩上漲  矽力*-KY   2.72(億)
11   電子上游-LED及光元件   緩緩上漲     長科*    0.1(億)
12        軟體-系統整合     很強    台灣銘板   0.48(億)
13     電子上游-IC-設計   緩緩上漲      鈺太   3.81(億)
14          傳產-生技   緩緩上漲      軒郁    1.7(億)
15          傳產-其他   緩緩上漲   志強-KY   4.67(億)
16     電子上游-IC-設計     很強      安國   2.63(億)
    node1   node2     node3          node4
0    緩緩下跌      宇隆   2.28(億)       傳產-汽車零組件
1    緩緩下跌   美食-KY  -0.69(億)          傳產-觀光
2   上漲ing    穩懋-●  17.28(億)     電子上游-IC-代工
3      很弱      德微  -3.47(億)   電子上游-LED及光元件
4    緩緩下跌  太景*-KY   0.14(億)          傳產-生技
5   下跌ing   材料-KY  -7.28(億)        傳產-化學工業
6   下跌ing     誠美材   3.42(億)   電子中游-LCD-零組件
7    緩緩上漲      虹堡   6.53(億)     電子下游-商業自動化
8    緩緩下跌      建榮  -0.44(億)  電子上游-PCB-材料設備
9    緩緩下跌      亞翔   4.04(億)    電子中游-儀器設備工程
10   緩緩上漲  矽力*-KY   2.72(億)     電子上游-IC-設計
11   緩緩上漲     長科*    0.1(億)   電子上游-LED及光元件
12     很強    台灣銘板   0.48(億)        軟體-系統整合
13   緩緩上漲      鈺太   3.81(億)     電子上游-IC-設計
14   緩緩上漲      軒郁    1.7(億)          傳產-生技
15   緩緩上漲   志強-KY   4.67(億)          傳產-其他
16     很強      安國   2.63(億)     電子上游-IC-設計
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['緩緩下跌', '宇隆'], ['緩緩下跌', '美食-KY'], ['上漲ing', '穩懋-●'], ['很弱', '德微'], ['緩緩下跌', '太景*-KY'], ['下跌ing', '材料-KY'], ['下跌ing', '誠美材'], ['緩緩上漲', '虹堡'], ['緩緩下跌', '建榮'], ['緩緩下跌', '亞翔'], ['緩緩上漲', '矽力*-KY'], ['緩緩上漲', '長科*'], ['很強', '台灣銘板'], ['緩緩上漲', '鈺太'], ['緩緩上漲', '軒郁'], ['緩緩上漲', '志強-KY'], ['很強', '安國'], ['宇隆', '2.28(億)'], ['美食-KY', '-0.69(億)'], ['穩懋-●', '17.28(億)'], ['德微', '-3.47(億)'], ['太景*-KY', '0.14(億)'], ['材料-KY', '-7.28(億)'], ['誠美材', '3.42(億)'], ['虹堡', '6.53(億)'], ['建榮', '-0.44(億)'], ['亞翔', '4.04(億)'], ['矽力*-KY', '2.72(億)'], ['長科*', '0.1(億)'], ['台灣銘板', '0.48(億)'], ['鈺太', '3.81(億)'], ['軒郁', '1.7(億)'], ['志強-KY', '4.67(億)'], ['安國', '2.63(億)']]
         買超概算   區間漲幅       代號             分類
0   -0.533506   1.84    美食-KY          傳產-觀光
1   38.692732   7.92     聯詠-●     電子上游-IC-設計
2   17.745225  15.29     穩懋-●     電子上游-IC-代工
3   -3.732950 -23.29       德微   電子上游-LED及光元件
4    0.186968  -0.33   太景*-KY          傳產-生技
5   -0.040860  -1.92    冠星-KY        傳產-紡織纖維
6   -0.523194  -1.52  臻鼎-KY-◎    電子上游-PCB-製造
7    3.095686  -9.82      誠美材   電子中游-LCD-零組件
8    1.322369   6.57       十銓    電子上游-DRAM銷售
9    4.667481   8.85      華星光      電子中游-通訊設備
10  -0.488029 -10.84       建榮  電子上游-PCB-材料設備
11   1.325524   2.39   矽力*-KY     電子上游-IC-設計
12   0.613587  19.83     台灣銘板        軟體-系統整合
13   5.136797   5.67       鈺太     電子上游-IC-設計
14   1.576405   4.31       軒郁          傳產-生技
15   4.682422   0.00    志強-KY          傳產-其他
16   1.479329  22.01       安國     電子上游-IC-設計
17   5.240354  12.73    宏捷科-◎     電子上游-IC-代工
         買超概算       代號             分類  node1
0   -0.533506    美食-KY          傳產-觀光   緩緩上漲
1   38.692732     聯詠-●     電子上游-IC-設計   緩緩上漲
2   17.745225     穩懋-●     電子上游-IC-代工  上漲ing
3   -3.732950       德微   電子上游-LED及光元件     很弱
4    0.186968   太景*-KY          傳產-生技   緩緩下跌
5   -0.040860    冠星-KY        傳產-紡織纖維   緩緩下跌
6   -0.523194  臻鼎-KY-◎    電子上游-PCB-製造   緩緩下跌
7    3.095686      誠美材   電子中游-LCD-零組件   緩緩下跌
8    1.322369       十銓    電子上游-DRAM銷售   緩緩上漲
9    4.667481      華星光      電子中游-通訊設備   緩緩上漲
10  -0.488029       建榮  電子上游-PCB-材料設備  下跌ing
11   1.325524   矽力*-KY     電子上游-IC-設計   緩緩上漲
12   0.613587     台灣銘板        軟體-系統整合  上漲ing
13   5.136797       鈺太     電子上游-IC-設計   緩緩上漲
14   1.576405       軒郁          傳產-生技   緩緩上漲
15   4.682422    志強-KY          傳產-其他     很弱
16   1.479329       安國     電子上游-IC-設計     很強
17   5.240354    宏捷科-◎     電子上游-IC-代工  上漲ing
               分類  node1    node2     node3
0           傳產-觀光   緩緩上漲    美食-KY  -0.53(億)
1      電子上游-IC-設計   緩緩上漲     聯詠-●  38.69(億)
2      電子上游-IC-代工  上漲ing     穩懋-●  17.75(億)
3    電子上游-LED及光元件     很弱       德微  -3.73(億)
4           傳產-生技   緩緩下跌   太景*-KY   0.19(億)
5         傳產-紡織纖維   緩緩下跌    冠星-KY  -0.04(億)
6     電子上游-PCB-製造   緩緩下跌  臻鼎-KY-◎  -0.52(億)
7    電子中游-LCD-零組件   緩緩下跌      誠美材    3.1(億)
8     電子上游-DRAM銷售   緩緩上漲       十銓   1.32(億)
9       電子中游-通訊設備   緩緩上漲      華星光   4.67(億)
10  電子上游-PCB-材料設備  下跌ing       建榮  -0.49(億)
11     電子上游-IC-設計   緩緩上漲   矽力*-KY   1.33(億)
12        軟體-系統整合  上漲ing     台灣銘板   0.61(億)
13     電子上游-IC-設計   緩緩上漲       鈺太   5.14(億)
14          傳產-生技   緩緩上漲       軒郁   1.58(億)
15          傳產-其他     很弱    志強-KY   4.68(億)
16     電子上游-IC-設計     很強       安國   1.48(億)
17     電子上游-IC-代工  上漲ing    宏捷科-◎   5.24(億)
    node1    node2     node3          node4
0    緩緩上漲    美食-KY  -0.53(億)          傳產-觀光
1    緩緩上漲     聯詠-●  38.69(億)     電子上游-IC-設計
2   上漲ing     穩懋-●  17.75(億)     電子上游-IC-代工
3      很弱       德微  -3.73(億)   電子上游-LED及光元件
4    緩緩下跌   太景*-KY   0.19(億)          傳產-生技
5    緩緩下跌    冠星-KY  -0.04(億)        傳產-紡織纖維
6    緩緩下跌  臻鼎-KY-◎  -0.52(億)    電子上游-PCB-製造
7    緩緩下跌      誠美材    3.1(億)   電子中游-LCD-零組件
8    緩緩上漲       十銓   1.32(億)    電子上游-DRAM銷售
9    緩緩上漲      華星光   4.67(億)      電子中游-通訊設備
10  下跌ing       建榮  -0.49(億)  電子上游-PCB-材料設備
11   緩緩上漲   矽力*-KY   1.33(億)     電子上游-IC-設計
12  上漲ing     台灣銘板   0.61(億)        軟體-系統整合
13   緩緩上漲       鈺太   5.14(億)     電子上游-IC-設計
14   緩緩上漲       軒郁   1.58(億)          傳產-生技
15     很弱    志強-KY   4.68(億)          傳產-其他
16     很強       安國   1.48(億)     電子上游-IC-設計
17  上漲ing    宏捷科-◎   5.24(億)     電子上游-IC-代工
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['緩緩上漲', '美食-KY'], ['緩緩上漲', '聯詠-●'], ['上漲ing', '穩懋-●'], ['很弱', '德微'], ['緩緩下跌', '太景*-KY'], ['緩緩下跌', '冠星-KY'], ['緩緩下跌', '臻鼎-KY-◎'], ['緩緩下跌', '誠美材'], ['緩緩上漲', '十銓'], ['緩緩上漲', '華星光'], ['下跌ing', '建榮'], ['緩緩上漲', '矽力*-KY'], ['上漲ing', '台灣銘板'], ['緩緩上漲', '鈺太'], ['緩緩上漲', '軒郁'], ['很弱', '志強-KY'], ['很強', '安國'], ['上漲ing', '宏捷科-◎'], ['美食-KY', '-0.53(億)'], ['聯詠-●', '38.69(億)'], ['穩懋-●', '17.75(億)'], ['德微', '-3.73(億)'], ['太景*-KY', '0.19(億)'], ['冠星-KY', '-0.04(億)'], ['臻鼎-KY-◎', '-0.52(億)'], ['誠美材', '3.1(億)'], ['十銓', '1.32(億)'], ['華星光', '4.67(億)'], ['建榮', '-0.49(億)'], ['矽力*-KY', '1.33(億)'], ['台灣銘板', '0.61(億)'], ['鈺太', '5.14(億)'], ['軒郁', '1.58(億)'], ['志強-KY', '4.68(億)'], ['安國', '1.48(億)'], ['宏捷科-◎', '5.24(億)']]
         買超概算   區間漲幅      代號             分類
0    1.329741  14.41      泰茂       傳產-汽車零組件
1    3.934288  10.83      王品          傳產-觀光
2    2.602108  13.87      雄獅          傳產-觀光
3   55.670392  12.92    聯詠-●     電子上游-IC-設計
4   23.395421  23.55    穩懋-●     電子上游-IC-代工
5    2.844651   2.97     昇達科      電子中游-通訊設備
6   31.476582  14.40   世芯-KY     電子上游-IC-設計
7   -2.716147 -15.20      德微   電子上游-LED及光元件
8    0.174537   3.10  太景*-KY          傳產-生技
9   -0.052245  -0.39   冠星-KY        傳產-紡織纖維
10   0.309469   3.05   力達-KY          傳產-電機
11 -11.355608 -14.36   材料-KY        傳產-化學工業
12   2.841212 -10.79     誠美材   電子中游-LCD-零組件
13  -0.215741  -1.88      建榮  電子上游-PCB-材料設備
14   7.126078  16.42  矽力*-KY     電子上游-IC-設計
15  11.116393   8.02     愛普*     電子上游-IC-設計
16   6.072936  10.51      鈺太     電子上游-IC-設計
17   6.707232  12.12    昇佳電子     電子上游-IC-設計
18   4.720039   1.38   志強-KY          傳產-其他
19   4.702969  16.67   宏捷科-◎     電子上游-IC-代工
20  -0.016434  -3.21   紅木-KY          傳產-其他
         買超概算      代號             分類  node1
0    1.329741      泰茂       傳產-汽車零組件  上漲ing
1    3.934288      王品          傳產-觀光  上漲ing
2    2.602108      雄獅          傳產-觀光  上漲ing
3   55.670392    聯詠-●     電子上游-IC-設計  上漲ing
4   23.395421    穩懋-●     電子上游-IC-代工     很強
5    2.844651     昇達科      電子中游-通訊設備   緩緩上漲
6   31.476582   世芯-KY     電子上游-IC-設計  上漲ing
7   -2.716147      德微   電子上游-LED及光元件  下跌ing
8    0.174537  太景*-KY          傳產-生技   緩緩上漲
9   -0.052245   冠星-KY        傳產-紡織纖維   緩緩下跌
10   0.309469   力達-KY          傳產-電機   緩緩上漲
11 -11.355608   材料-KY        傳產-化學工業  下跌ing
12   2.841212     誠美材   電子中游-LCD-零組件  下跌ing
13  -0.215741      建榮  電子上游-PCB-材料設備   緩緩下跌
14   7.126078  矽力*-KY     電子上游-IC-設計  上漲ing
15  11.116393     愛普*     電子上游-IC-設計   緩緩上漲
16   6.072936      鈺太     電子上游-IC-設計  上漲ing
17   6.707232    昇佳電子     電子上游-IC-設計  上漲ing
18   4.720039   志強-KY          傳產-其他   緩緩上漲
19   4.702969   宏捷科-◎     電子上游-IC-代工  上漲ing
20  -0.016434   紅木-KY          傳產-其他   緩緩下跌
               分類  node1   node2      node3
0        傳產-汽車零組件  上漲ing      泰茂    1.33(億)
1           傳產-觀光  上漲ing      王品    3.93(億)
2           傳產-觀光  上漲ing      雄獅     2.6(億)
3      電子上游-IC-設計  上漲ing    聯詠-●   55.67(億)
4      電子上游-IC-代工     很強    穩懋-●    23.4(億)
5       電子中游-通訊設備   緩緩上漲     昇達科    2.84(億)
6      電子上游-IC-設計  上漲ing   世芯-KY   31.48(億)
7    電子上游-LED及光元件  下跌ing      德微   -2.72(億)
8           傳產-生技   緩緩上漲  太景*-KY    0.17(億)
9         傳產-紡織纖維   緩緩下跌   冠星-KY   -0.05(億)
10          傳產-電機   緩緩上漲   力達-KY    0.31(億)
11        傳產-化學工業  下跌ing   材料-KY  -11.36(億)
12   電子中游-LCD-零組件  下跌ing     誠美材    2.84(億)
13  電子上游-PCB-材料設備   緩緩下跌      建榮   -0.22(億)
14     電子上游-IC-設計  上漲ing  矽力*-KY    7.13(億)
15     電子上游-IC-設計   緩緩上漲     愛普*   11.12(億)
16     電子上游-IC-設計  上漲ing      鈺太    6.07(億)
17     電子上游-IC-設計  上漲ing    昇佳電子    6.71(億)
18          傳產-其他   緩緩上漲   志強-KY    4.72(億)
19     電子上游-IC-代工  上漲ing   宏捷科-◎     4.7(億)
