mod_id,mod_name
es,微型S&P
nq,NASDAQ
txf,台指期
ym,小型道瓊
ad,澳幣
bp,英鎊
cd,加幣
ec,歐元
jy,日圓
sf,瑞士法郎
zc,玉米
zs,黃豆
zw,小麥
gc,黃金
si,白銀
cl,輕原油
